"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63"
0.69,2.65,0.31,0.05,0.93,1.07,166.79,101.41,92.74,16.05,0.74,2.87,3.87,59.44,74.15,2.94,1.11,5032.37,13.62,26.92,94.6,2.36,7.82,0.8,0.03,0.78,1.1,123.73,57.23,57.53,24.38,69.82,231.31,3.31,70.57,69.82,6.2,1.06,NA,15.81,17.1,72.26,1.89,7.35,0.74,0.05,0.85,1.09,142.64,56.57,53.44,16.8,74.3,289.15,3.89,53.11,74.3,5.78,1.02,NA,28.97,14.83,65.48
15.32,24.16,7.93,0.84,2.59,2.76,188.4,90.52,67.4,11.22,0.37,0.58,1.58,35.78,36.61,46.29,NA,34048.5,0,10.59,62.35,-11.05,-14.17,-7.36,3.16,4.23,4.69,242.48,54.34,50.86,23.22,0.22,0.28,1.28,22.61,21.98,-50.29,NA,NA,0,17.73,89.03,2.58,5.66,1.8,0.75,1.73,1.83,253.58,132.33,134.94,12.92,0.54,1.19,2.19,26.18,54.35,5.47,30.95,NA,0,13.01,66.96
-17.67,-67.94,-6.36,0.82,1.32,1.35,130.94,47.92,95.83,2.81,0.74,2.85,3.85,-17.67,74,-23.88,NA,NA,0,0,0,-3.35,-10.49,-2.49,1.43,1.47,1.47,271.11,7.48,182.57,NA,0.68,2.13,3.13,-3.35,68.09,-4.92,NA,NA,0,0,0,89.32,100,9.21,1.82,7.61,9.36,37.52,22.96,-14.11,6.94,0.11,0.12,1.12,89.32,10.68,835.99,NA,NA,48.7,0,0
-23.63,303.63,-5.94,0.49,0.49,0.68,91.57,NA,75.33,14.69,1.08,-13.85,-12.85,30.44,107.78,-5.97,0.3,3404,0,13.6,94.1,55.43,109.55,16.75,1.88,1.88,1.94,109.99,0.25,47.07,2.55,0.49,0.98,1.98,107.69,49.41,133.78,3.51,NA,0,11.37,27.21,31.93,50.06,14.41,3.48,3.8,3.86,164.22,10.53,33.21,2.29,0.36,0.57,1.57,72.04,36.21,110.94,3.94,NA,0,12.73,31.41
38.69,97.02,20.86,0.21,1.23,1.23,196.28,115.44,107.66,0.75,0.6,1.51,2.51,74.19,60.12,75.26,1.45,39011.55,3.04,19.14,38.23,34.29,97.64,17.76,0.63,1.31,1.37,188.47,80.82,118.67,6.61,0.65,1.85,2.85,59.44,64.88,62.62,2.73,NA,0,9.39,23.31,11.56,94.37,9.51,0.29,0.86,0.97,299.41,145.03,257.68,30.23,0.88,7.16,8.16,28.53,87.75,18.74,0.83,NA,0,10.2,32.13
12.22,14.6,4.31,1.6,1.88,6.16,127.75,5.94,20.61,89.44,0.16,0.2,1.2,38.61,16.35,74.74,NA,6220,0,9.31,59.39,3.79,11.45,3.61,0.09,0.35,1.65,347.24,34.89,135.21,176.3,0.67,2.02,3.02,17.37,66.93,11.81,1.18,NA,0,9.59,39.16,2.26,6.92,2.13,0.03,0.16,1.16,342.05,31,131.88,225.99,0.67,2.06,3.06,18.3,67.29,14.37,1.78,NA,28.16,11.63,36.93
0.99,3.97,0.39,0.4,0.92,1.23,141.66,41.73,80.39,25.3,0.75,3.01,4.01,41.88,75.04,15.74,1.45,31539.67,0,15.91,75.04,12.18,31.17,3.41,0.56,1.46,1.95,101.81,31.1,34.46,17.04,0.61,1.56,2.56,68.78,60.92,40.54,1.96,NA,0,11.76,46.29,-7,-27.82,-3.48,0.3,1.15,1.43,180.99,81.72,96.77,27.68,0.68,2.7,3.97,27.44,67.94,5.82,1.81,NA,0,12.53,61.37
12.06,16.21,12.54,0.01,0.27,0.34,378.75,23.8,69.79,6.58,0.26,0.34,1.34,28.6,25.63,49.69,0.81,28343.9,6.1,17.21,49.1,9.83,14.05,13.1,0,0.09,0.13,485.13,12.26,106.14,5.36,0.3,0.43,1.43,23.3,30.04,33.8,0.73,9687.65,7.22,12.65,35.63,11.5,20.37,20.92,0,0.12,0.15,661.87,22.16,160.43,4.55,0.43,0.77,1.77,20.39,43.37,27.86,0.73,NA,18.32,11.36,26.05
0,0,0,0.38,0.39,1.08,94.23,0.23,28.25,19.73,0.33,0.49,1.49,25.59,32.93,17.68,1.02,7472.4,0,6.62,85.34,0,0,NA,0.51,0.53,1.08,121.81,0.55,39.94,22.17,0.36,0.56,1.56,27.21,36.05,0,1.03,NA,0,9.1,98.19,0,0,NA,0.49,0.57,1.17,155.87,3.42,44.75,26.78,0.31,0.45,1.45,21.67,31.26,8.84,1.06,NA,0,9.28,84.88
7.62,56.39,0.86,0.11,0.52,0.63,40.85,13.53,33.31,3.72,0.86,6.4,7.4,20.76,86.48,15.85,0.29,21422.63,0,1.47,42.97,2.87,18.68,0.38,0.2,0.59,0.69,48.04,15.07,38.83,3.93,84.65,551.6,6.52,14.67,84.65,10.83,0.36,NA,0,1.12,33.03,6.07,27.36,0.86,0.18,0.58,0.68,51.33,15.43,38.2,3.89,77.81,350.62,4.51,19.96,77.81,16.6,0.46,NA,0,1.41,31.78
