"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63"
2.72,18.5,3.13,0.02,0.27,0.86,420.31,90.47,299.57,214.94,0.85,5.81,6.81,52.57,85.32,8.65,0.68,4760.78,14.68,57.41,98.94,-18.77,229.43,-24.92,0.01,0.19,1.13,483.12,67.12,357.12,342.29,1.08,-13.22,-12.22,33.57,108.18,-10.57,1.7,4584.78,16.94,69.48,119.55,-6.02,44.19,-23.79,0,0.28,1.1,1438.46,332.38,1189.1,992.78,1.14,-8.34,-7.34,0.03,113.63,1.12,2.59,NA,15.81,17.73,35.05
-87.84,152.14,-12.03,0.07,0.1,0.62,49.99,1.52,61.43,32.69,1.58,-2.73,-1.73,88.35,157.74,-41.74,-1.21,5582.6,29.04,24.13,139.21,27.53,479.67,9.64,0.4,0.47,1.14,127.4,8.25,109.87,75.07,0.94,16.42,17.42,89.09,94.26,38.02,NA,20038,3.37,21.55,59.85,-20.38,-69.37,-15.4,0.07,0.93,2.25,275.04,28.66,33.42,43.91,0.71,2.4,3.4,2.32,70.62,-24.4,1.2,NA,57.19,17.15,204.1
-5.83,-12.31,-1.92,0.01,0.22,0.78,120.37,8.54,30.27,22.05,0.49,1.03,2.11,4.99,52.59,0.23,0.85,NA,23.1,3.57,75.9,4.01,5.85,1.36,0.06,1.51,2.29,123.35,28.18,19.5,15.25,0.29,0.42,1.46,14.24,28.61,38.7,1.28,NA,12.06,2.51,32.07,2.01,2.77,0.63,0.21,1.86,2.83,113.82,22.46,13.64,13.23,0.25,0.34,1.38,17.45,24.61,33.09,1.3,NA,12.19,3.47,43.14
0.52,1.91,0.41,16.47,19.73,19.73,282.9,46.1,14.14,NA,0.73,2.64,3.64,0.52,72.55,0.72,NA,NA,0,0,0,-367.31,110.72,-63.42,0.67,1.23,1.23,62.85,27.98,50.72,NA,4.32,-1.3,-0.3,37.64,431.75,-85.08,NA,484.4,0,69.92,1060.53,52.2,-46.61,16.58,1.84,2.58,2.58,115.62,32.73,44.24,NA,2.12,-1.89,-0.89,88.32,211.99,24.63,NA,NA,0,7.97,34.98
16.6,87.89,14.64,0.02,0.86,0.9,321.9,212.8,253.74,10.17,0.81,4.3,5.3,50.31,81.12,29.61,0.69,NA,0,29.74,54.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.73,84.49,9.55,-0.18,1.78,1.93,273.17,175.57,89.55,13.33,0.85,5.64,6.64,45.9,84.93,25.5,1.86,NA,0,24.89,57.3
2.16,12.96,1.07,0.24,0.78,1.12,180.7,48.77,67.36,30.98,0.76,4.58,6.01,26.38,83.35,12.21,0.96,28927.64,29.06,11.99,66.34,3.3,17.24,1.37,0.21,0.73,1.02,151.36,46.68,54.51,26.32,0.76,3.98,5.23,24.68,80.87,13.54,0.86,23088.13,37.46,8.89,63.86,3.58,14.93,1.44,0.12,0.6,0.86,146.61,50.38,52.28,26.54,0.73,3.07,4.17,26.44,73.49,14.69,0.63,10051.76,35.51,6.65,49.91
0.02,0.22,0.01,0.74,0.85,1.54,229.65,15.82,138.36,96.37,0.9,8.69,9.7,65.4,89.69,4.02,2.35,27997.38,0,41.13,86.83,6.29,30.9,2.31,0.22,1.18,1.48,133.9,69.04,71.88,21.61,0.8,3.91,4.91,90.4,79.63,17.69,2.37,27295.38,0,30.94,83.91,1.26,6.82,0.8,0.68,1.11,1.5,229.64,58.72,137.19,53.46,81.2,438.02,5.39,51.93,81.2,14.19,4.46,NA,0,21.12,50.31
-10.25,-4808.07,-13.76,0.04,0.12,0.69,490.25,14.48,159.12,100.96,1,467.4,469.24,-4.27,99.79,-1.76,0.84,15711.85,22.15,8.02,88.97,-5.04,-692.9,-9.54,0.01,0.06,0.46,689.12,14.27,252.61,113.25,0.99,136.49,137.57,-0.87,99.27,6.01,0.72,27663.95,22.06,7.88,38.99,-4.33,124.52,-8.38,0.01,0.35,0.68,704.84,67.96,100,67.98,1.03,-29.78,-28.79,0.34,103.43,8.36,0.88,8051.53,36.66,6.43,23.58
-21.9,146.29,-8.51,0.12,0.38,0.61,141.8,34.68,129.14,29.82,1.15,-7.68,-6.68,7.38,114.97,8.24,0.16,26868.33,17.76,11.37,68.15,-27.28,55.11,-8.31,0.05,0.29,0.46,110.95,33.27,138.71,23.95,1.49,-3.02,-2.02,14.43,149.5,-1.62,-0.69,21744.5,20.31,12.71,90.94,10.32,59.1,5.87,0.1,0.55,0.57,206.97,75.47,166.81,3.96,0.83,4.73,5.73,32.88,82.54,18.9,0.34,NA,0,9.27,46.46
8.72,25.93,4.2,0.01,1.14,1.38,175.76,117.79,96.77,25.93,0.66,1.97,2.97,17.02,66.36,27.02,2.5,38749,10.4,3.99,26.05,4.17,10.7,2.39,0.14,1.34,1.46,208.51,141.51,95.83,13.84,0.61,1.57,2.57,19.3,61.02,23.3,2.63,27632.5,14.42,8.67,42.94,3.41,8.98,1.98,0.13,1.27,1.45,210.91,148.18,91.16,23.37,0.62,1.63,2.63,18.07,62.01,14.37,4.2,NA,18.2,6.06,36.13
