"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63"
-1.56,-12.53,-2.48,0.02,0.64,1.38,581.16,246.34,354.41,295.47,0.82,6.59,8.06,-1.3,87.59,-0.02,4.78,50921,14.34,0.42,5.35,0.02,0.11,0.01,0.02,0.58,1.34,253.47,97.51,157.76,135.26,0.81,4.39,5.39,0.28,81.45,3.14,4.43,42477,12.75,0.18,4.25,0.87,3.38,0.81,0.27,0.83,1.42,341.11,130.5,182.9,138.24,0.74,2.9,3.9,1.53,74.33,4.02,12.19,17787,17.28,0.62,19.58
0.41,66.07,0.81,0.22,0.91,1.01,717.16,481.45,526.83,67.89,0.99,159.88,160.9,11.43,99.38,2.13,1.06,NA,23.78,21.71,81.79,3.38,69.59,1.9,0.08,0.84,1.08,205.1,140.59,186.95,45.95,0.95,19.62,20.62,27.2,95.15,5.52,NA,19931.7,0,13.39,44.94,-1.48,-63.93,-1.42,0.2,0.92,1.04,348.79,238.42,217.02,38.94,0.98,42.17,43.17,17.73,97.68,-1.52,NA,NA,33.32,18.41,71.86
19.96,31.26,12.33,0.75,1.77,2.33,224.84,46.21,45.58,26.01,0.34,0.53,1.57,50.19,36.14,74.69,1.48,NA,0,18.67,50.58,12.78,18.8,6.5,0.75,1.46,2.39,185.55,22.78,32.16,30.3,0.3,0.43,1.47,54.4,32.03,81.68,1.38,26180.18,0,21.16,60.53,13.11,20.28,8.2,0.67,2,2.55,227.58,60.95,45.62,25.42,0.33,0.52,1.55,47.29,35.34,66.91,1.56,26819.41,0,21.37,56.44
3.82,7.25,3.16,0.4,0.82,0.97,301.6,17.96,49.04,7.82,0.47,0.9,1.9,31.83,47.35,22.99,0.98,18124.73,26.77,23.21,65.35,0.18,0.33,0.2,0.12,0.49,0.8,398.49,25.72,67.22,21.48,0.45,0.81,1.81,24.51,44.73,4.3,0.95,11091.75,25.64,26.56,83.09,0.93,1.61,0.89,0.05,0.35,0.53,346.61,23.64,79.48,14.53,0.42,0.72,1.72,25.97,41.97,4.59,0.86,10951.94,16.41,23.85,83.87
4.72,44.01,3.87,0,0.28,0.81,297.81,42.18,128.14,93.33,0.89,8.32,9.32,18.91,89.26,3.55,0.76,NA,15.45,11.61,70.06,5.77,40.91,3.86,0,0.48,0.87,244.32,71.82,110.46,64.05,0.86,6.09,7.09,17.26,85.89,4.97,0.78,19819.06,20.54,7.69,64.68,5.48,19.69,2.94,0,0.12,0.73,195.13,5.41,33.75,56.82,0.72,2.59,3.59,20.74,72.18,9.28,0.78,23692.08,30,8.18,59.35
-7.83,-51.87,-1.92,0.44,1.35,1.42,89.41,28.37,31.02,2.19,0.85,5.62,6.62,191.61,84.9,4,0.32,NA,0,48.99,97.85,0.01,0.08,0,0.39,1.42,1.51,97.85,38,36.95,3.66,0.85,5.82,6.82,199.42,85.34,10.6,0.4,7332.88,0,53.46,104.49,-0.37,-2.18,-0.09,0.39,2.06,2.19,90.7,42.5,25.32,3.16,0.83,4.86,5.86,228.26,82.93,9.46,0.49,5791.35,0,56.97,120
0.09,0.17,0.05,0.76,1.05,1.6,198.6,2.34,82.52,45.89,0.47,0.88,1.88,46.94,46.91,15.55,1.72,NA,0,25.57,77.98,15.46,20.38,6.67,1.68,2.56,3.12,157.41,0.59,35.07,19.74,0.24,0.32,1.32,71.28,24.15,82.65,2.6,16943.33,0,24.07,67.71,9.4,13.36,5.6,1.18,1.98,2.83,217.08,45.56,57.04,49.22,0.3,0.42,1.42,55.04,29.63,47.56,2.93,16298,0,27.22,75.14
-8.4,28.37,-3.96,0.01,0.55,0.74,171.43,118.05,219.72,41.56,1.3,-4.37,-3.38,-0.72,129.62,-5.22,-6.84,NA,0,3.62,316.47,5.22,-16.44,2.34,0.07,0.47,0.73,163.95,86.27,213.03,56.71,1.32,-4.15,-3.15,15.11,131.74,5.5,-9.47,17858,0,4.44,57.13,5.91,-28.8,2.76,0.2,0.51,0.82,170.15,62.48,202.68,63.63,1.21,-5.87,-4.87,14.64,120.53,6.06,-14.75,20144,0,4.08,54.02
10.46,49.71,14.84,0.23,1.15,1.15,516.15,370.06,401.35,0,0.79,3.75,4.75,10.46,78.95,13.25,2.18,NA,0,0,0,1.47,9.01,4.12,0.04,1.08,1.08,1025.56,877.31,841.62,NA,0.84,5.15,6.15,1.47,83.73,6.26,1.58,NA,0,0,0,-0.34,-0.37,-0.17,17.63,26.72,26.72,184.02,34.33,3.78,NA,0.09,0.1,1.1,-0.34,8.81,207.74,2.06,NA,0,0,0
11.25,21.94,5.82,0,0.88,1.14,188.11,69.3,86.59,22.49,0.48,0.94,1.95,26.87,48.32,44.39,1.09,NA,NA,8.07,39.36,9.95,16.64,4.55,0.19,1.33,1.6,166.86,64.83,61.73,16.91,0.4,0.67,1.67,30.35,40.21,51.45,1.5,25791.68,0,9.32,50.47,13.81,20.55,6.35,0.66,2.19,2.43,167.41,71.05,48.99,11.56,0.33,0.49,1.49,33.59,32.8,67.08,2.39,31358.09,0,9.1,44.86
