"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63"
0,0,0,1.98,2.26,3.28,184.88,15.29,55.16,56.95,0.93,13.85,14.85,23.11,93.27,0.23,83.15,13125.5,0,11.74,65.08,0,0,NA,2.6,2.97,4.66,178.75,13.75,37.53,64.18,0.92,12.21,13.21,26.8,92.43,0.23,125.75,NA,0,13.13,66.79,0,0,NA,2.24,2.39,3.75,186.04,7.39,48.79,67.12,0.93,13.13,14.13,20.06,92.92,0.18,176.39,NA,0,10.25,55
9.92,42.1,6.95,0.33,0.57,0.73,254.82,46.25,191.78,31.29,0.76,3.24,4.24,13.84,76.43,12.99,0.54,NA,0,2.74,19.36,3.99,14.41,4.71,0.32,0.57,0.7,430.89,76.25,305.44,41.61,0.72,2.61,3.61,8.12,72.32,5.51,0.56,NA,0,4.88,45.96,2.26,7.41,1.88,0.36,0.58,0.75,303.1,44.89,207.33,35.45,0.7,2.28,3.28,5.86,69.53,6.88,0.64,NA,0,2.2,24.73
14.28,76.9,3.96,0.46,1.13,1.31,100.81,48.74,66.81,13.6,0.81,4.38,5.39,36.57,81.43,23.83,10.32,NA,13.65,6.17,45.6,9.16,37.91,3.21,0.6,1.18,1.34,127.88,47.2,62.85,13.92,0.76,3.14,4.14,25.97,75.84,16.09,3.17,22635.25,25.03,5.89,46.43,5.96,34.54,2.26,0.6,1.04,1.2,138.09,45.91,76.63,16.78,0.83,4.79,5.79,25.85,82.73,10.5,3.2,20688.4,25.53,7.54,51.72
5.32,26.3,3.61,0.05,1.18,1.24,246.7,90.11,79.17,4.51,0.8,3.94,4.94,21.2,79.76,23.09,0.94,NA,0.06,10.76,42.23,0.43,2.47,0.4,0.06,1.03,1.16,338.07,73.34,75.47,9.96,0.48,2.76,5.72,13.69,82.53,37.17,0.52,34042.6,0.08,12.28,39.73,3.16,22.01,2.43,0.36,0.87,1.07,279.08,54.6,107.3,22.36,0.56,3.9,6.96,17.88,85.63,41.34,0.45,27550.67,0.1,11.28,42.98
14.73,41.11,4.43,0.17,1.2,1.55,109.57,71.47,69.39,24.92,0.64,1.79,2.79,21.16,64.18,26.55,NA,NA,0,1.94,28.96,14.47,32.71,4.55,0.4,1.27,1.64,114.86,54.75,63.03,23.41,0.56,1.26,2.26,19.6,55.77,26.94,5.33,24473,0,1.61,28.72,3.85,8.03,1.5,0.71,1.43,1.8,141.68,52.17,72.71,27.85,0.52,1.09,2.09,12.95,52.05,11.65,7.91,8655.5,0,3.54,72.32
0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,0,NA,NA,32.05,33.21,22.11,25.69,25.69,28.52,251.2,NA,8.71,24.95,0.04,0.04,1.04,34.12,3.51,913.87,NA,2142,0,1.43,5.67
4.39,6.3,0.76,0.33,0.43,4.13,62.64,1.55,14.94,56.04,0.3,0.43,1.43,59.54,30.27,28.98,NA,11030.8,4.73,9.49,74.77,10.86,16.12,2.3,0.62,0.74,3.24,77.26,2.77,23.31,59.05,0.32,0.47,1.48,52.85,32.63,33.99,NA,11155.2,0,8.89,69.47,12.83,24.18,3.01,0.41,0.52,2.25,85.44,4.4,37.44,65.44,0.47,0.89,1.89,58.36,46.95,27.32,NA,12024,0,10.69,67.53
39.6,97.27,29.42,0.02,1.51,1.6,270.44,176.15,114.45,11.25,0.59,1.45,2.46,63.53,59.29,76.82,1.92,NA,10.95,17.78,34.04,18.87,44.27,25.96,-0.07,2.05,2.1,502.2,391.19,168.57,9.59,0.57,1.34,2.35,33.54,57.38,37.17,3.02,22772.78,21,20.19,36.18,33.36,47.37,34.97,1.19,9.01,9.6,381.59,201.24,21.73,15.38,0.3,0.42,1.42,56.21,29.57,138.56,2.85,18048.17,14.45,23.95,38.26
24.91,26.68,37.85,7.65,9.42,9.42,458.84,56.48,31.99,0,0,0,1.07,24.91,0.77,NA,2.08,NA,0,0,0,11.82,38.31,1.59,0.13,0.17,1.36,49.16,1.53,33.15,39.88,0.69,2.24,3.24,38.86,69.15,21.5,5.06,8515,0,3.64,56.92,18.85,43.98,2.66,0.14,0.4,1.51,51.39,7.3,28.79,32.62,0.57,1.33,2.33,43.52,57.15,40.94,3.24,13548,0,3.48,41.92
-0.32,-1.33,-0.05,0.91,1.08,1.12,52.2,4.22,26.19,1.21,0.76,3.15,4.15,213.19,75.88,6.67,1.14,NA,0,30.62,94.69,-23.48,-72.62,-7.98,-0.09,0.44,1.86,124.09,13.09,25.06,35.98,0.68,2.09,3.09,90.93,67.67,-26.86,1.28,NA,0,38.9,115.66,10.78,20.79,2.76,0.35,0.44,2.49,93,1.56,18.22,37.9,0.48,0.93,1.93,132,48.12,58.68,1.58,NA,0,30.97,76.79
