"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63"
3.08,34.52,1.65,0.29,0.41,0.81,194.74,17.71,157.36,64.3,0.91,10.21,11.21,26.36,91.08,25.23,0.55,NA,0,12.46,47.66,2.21,25.54,0.93,0.05,0.22,0.92,153.19,22.73,133,93.3,0.92,10.61,11.56,26.11,91.35,20.1,0.63,NA,0,10.06,52.93,1.98,17.13,0.56,0.14,0.42,0.84,103.13,22.45,78.07,32.62,0.88,7.57,8.63,35.41,88.42,25.11,0.64,15099,0,9.44,55.52
40.99,96.07,26.2,1.35,1.45,1.45,232.68,6.56,71.72,NA,0.57,1.33,2.34,68.74,57.33,111.28,0.81,NA,0,17.73,33.21,48.57,96.22,30.91,1.1,1.16,1.16,231.68,6.58,105.92,0,0.47,0.94,1.98,74.37,49.52,158.02,1.14,NA,0,16.42,26.07,42.22,94.82,28.01,1.07,1.2,1.2,242.15,16.72,126.27,NA,0.55,1.23,2.25,64.92,55.47,135.12,1.29,41664,0,15.06,24.31
0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,0,NA,NA
37.56,91.36,10.96,0.23,1.26,1.69,106.21,0.07,60.66,26.28,0.59,1.43,2.43,56.11,58.89,66.13,19.6,33804.57,0,5.41,32.41,34.26,88.44,8.78,0.26,1.08,1.64,93.27,0.31,55.31,31.23,0.61,1.58,2.58,57.32,61.26,58.51,22.12,27952.86,0,5.91,38.64,41.6,93.99,8.96,0.19,1.2,1.86,78.64,6.43,41.46,27.47,0.56,1.26,2.26,65.75,55.74,77.41,67.51,20792.22,0,5.2,35.43
1.21,1.22,0.21,366.29,366.29,366.29,16.3,0,0.17,0,0.01,0.01,1.01,1.21,1.29,93.94,NA,NA,0,0,0,0.75,8.74,0.45,0.1,1.09,1.09,217.68,196.48,196.4,NA,0.91,10.65,11.65,0.75,91.42,0.82,NA,NA,0.11,0,0,1.55,1.64,4.39,17.68,18.26,18.26,1033.24,32.55,55.81,NA,0.06,0.06,1.06,1.55,5.7,27.18,NA,NA,0,0,0
2.23,66.22,1.63,0.06,0.23,1.11,185.77,41.72,237.01,210.68,0.97,28.64,29.64,2.41,96.63,2.31,NA,18096,0,0.13,6.07,3.72,46.61,0.64,0.04,0.36,1.89,62.67,10.42,32.79,50.96,0.92,11.54,12.54,9.63,92.03,4.04,NA,2150.67,0,1.02,165.33,0,0.1,0,0.22,0.39,1.36,214.53,21.11,155.51,153.61,0.97,37.37,38.37,8.28,97.39,0,NA,3058,0,4.86,266.73
-1.73,-4.1,-0.55,0.35,1.31,1.82,116.15,59.82,38.28,32.16,0.58,1.37,2.37,17.02,57.73,-1.18,33.7,9548.83,20.89,5.98,99.29,-10.68,-23.47,-3.84,0.57,1.58,1.99,130.87,65.24,28.04,26.93,0.54,1.2,2.2,11.04,54.5,-18.04,54.81,10178,28.12,7.81,162.37,-1.81,-4.17,-1,0.3,1.44,1.92,201.46,117.4,46.5,50.53,0.57,1.31,2.31,15.49,56.75,-1.68,NA,12019,28.68,9.54,108.51
12.09,35.13,7.42,1.49,4.41,4.41,223.33,61.28,20.97,NA,0.66,1.91,2.91,78.19,65.59,62.48,1.6,15863,0,40.56,55.49,30.11,48.85,18.55,3.25,5.38,5.38,224.2,61.02,28.69,NA,0.38,0.62,1.62,86.75,38.36,140.3,2.94,NA,0,34.88,43.89,30.81,34.29,16.33,6.96,10.12,10.12,193.52,55.7,17.65,NA,0.1,0.11,1.11,103.46,10.17,526.13,15.99,20634,0,38.52,51.88
43.23,54.03,20.12,3.54,5.08,5.08,169.44,50.69,33,NA,0.2,0.25,1.25,105.49,20,216.16,NA,16152,0,28.98,52.97,44.02,54.23,15.85,4.57,5.47,5.47,131.06,21.28,23.69,NA,0.19,0.23,1.23,108.49,18.83,233.73,NA,17328,0,23.21,53.6,37.62,46.66,10.66,4.56,5.44,5.44,103.45,16.54,18.74,NA,0.19,0.24,1.24,129.58,19.36,194.31,NA,17871,0,26.07,65.8
3.28,7.33,1.46,0.55,0.81,1.82,162.57,22.72,85.56,87.42,0.55,1.24,2.24,30.59,55.29,6.45,15.84,23023.44,0,12.2,82.16,-0.14,-0.34,-0.06,0.08,0.72,1.66,151.58,55.98,87.61,83.42,0.58,1.41,2.41,27.37,58.46,0.09,14.84,22880.78,0,11.46,79.07,-22.72,-76.23,-8.09,0.09,0.64,1.38,129.95,49.93,89.97,66.72,0.7,2.36,3.36,13.05,70.19,-31.98,9.1,11896.93,0,12.74,100.41
8.29,29.02,13.45,0,1.05,1.1,590.09,426.96,369.27,22.4,0.71,2.5,3.5,9.13,71.42,14.15,1.31,NA,6.78,1.35,9.1,8.85,28.57,9.85,0.02,0.63,1.35,405,166.96,218.58,201.39,0.69,2.23,3.23,11.11,69.03,20.71,4.56,NA,13.8,2.52,13.31,1.59,3.17,3.31,0,0.94,1.94,761.57,352.04,326.13,379.75,0.5,0.99,1.99,3.76,49.86,5.72,16.52,16514.75,6.44,4.52,35.03
-5.02,7.68,-33.73,0.19,0.2,0.62,2446.52,37.57,3188.17,1673.41,1.65,-2.53,-1.53,-5.02,165.35,3.72,NA,NA,30.56,0,0,0.31,-0.56,1.51,0.31,0.31,0.79,1765.89,NA,2105.46,1067.94,1.55,-2.81,-1.81,0.31,155.18,0.2,-30.7,NA,3.29,0,0,-6.67,6.91,-3059.55,0.08,0.08,0.74,167539.1,NA,224166.74,148259.72,1.96,-2.04,-1.04,-6.67,196.47,-3.39,NA,-2543,0,0,0
26.46,38.93,12.03,0.09,1,3.09,165.5,47.12,51.62,109.67,0.32,0.47,1.47,50.23,32.03,88.95,32.26,NA,0,10.81,39.8,14.46,32.36,6.97,0.01,0.78,1.82,175.54,72.45,94.56,100.47,0.55,1.24,2.24,38.36,55.32,28.79,899.73,NA,0,11.53,54.36,8.55,16.08,4.2,0.02,0.88,2.07,179.19,70.96,82.66,99.49,0.47,0.88,1.88,33.22,46.83,19.05,16,30705,0,12.11,64.25
-3.21,-6.6,-2.2,0.49,1.91,2.43,249.91,118.74,41.27,43.96,0.51,1.06,2.06,14.53,51.41,4.88,3.86,26472,17.03,12.18,71.79,-0.26,-0.51,-0.19,0.56,1.96,2.33,262.84,136.89,56.5,35.78,0.49,0.97,1.97,14.96,49.17,11.69,5.22,26552.5,15.67,10.99,58.4,-0.54,-1.08,-0.35,0.57,1.79,2.09,237.61,124.91,56.16,30.99,0.5,1,2,19.89,49.99,14.82,7.1,25944,19.62,13.3,60.67
10.12,81.09,4.38,0.07,0.18,0.43,157.4,13.6,101.28,34.53,0.86,6.91,8.01,29.85,87.52,16.13,0.21,NA,20.11,8.53,48.3,0.01,0.23,0,0.03,0.1,0.36,162.81,11.16,149.8,38.69,0.97,37.96,39.11,23.84,97.44,1.18,0.04,NA,0,10.66,81.63,0.25,8.37,0.11,0.04,0.15,0.28,160.97,15.54,149.08,20.25,0.97,32.07,33.1,25.64,96.98,2.3,0.04,11935.43,0,11.2,80.15
