"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63"
30.92,42.19,29.93,0.94,1.55,1.55,352.34,56.32,92.88,NA,0.27,0.36,1.36,39.16,26.72,115.7,1.25,4844,0,7.98,16.07,21.02,24.75,NA,2.19,3.27,3.27,458.91,72.73,67.67,NA,0.15,0.18,1.18,43.09,15.04,139.74,1.66,NA,0,20.48,35.59,23.95,28.16,NA,3.7,4.1,4.1,422.96,24.95,62.08,NA,0.15,0.18,1.18,37.35,14.98,159.87,2.18,NA,0,11.48,25.64
10.94,26.94,6.58,0.01,1.11,1.36,218.89,73.57,69.88,18.26,0.44,1.07,2.46,24.29,59.39,40,1.42,48557.84,0,8.03,40.56,11.1,22.91,6.62,0.01,0.74,0.91,216.87,37.32,99.84,16.55,51.54,106.37,2.06,21.35,NA,NA,NA,NA,NA,NA,NA,4.53,10.18,3.06,0,0.65,0.8,246.64,39.44,124.25,17.64,55.52,124.8,2.25,15.87,NA,NA,NA,NA,NA,NA,NA
6.2,39.96,2.78,0.18,0.35,0.44,163.5,22.24,93.28,12.61,0.84,5.45,6.45,47.68,84.49,18.03,0.25,NA,24.05,18.63,86.07,13.7,56.6,4.77,0.16,0.38,0.45,126.73,16.02,56.84,5.84,0.76,3.13,4.13,76.31,75.8,31.15,0.5,NA,25.83,15.65,49.45,-0.07,-0.45,-0.03,0.15,0.34,0.43,136.72,18.49,76.64,9.15,0.84,5.15,6.15,62.06,83.74,6.66,0.36,NA,22.66,16.77,60.96
1.3,2.25,NA,0,1.79,2.03,129.2,84.01,21.66,11.51,0.42,0.73,1.73,12.2,42.33,16.4,2.51,5632.75,22.1,2.75,44.48,0.07,0.12,0.03,0,1.5,1.9,147.88,96.22,44.25,25.83,0.46,0.84,1.84,9.95,45.52,11.11,3.44,NA,13.76,2.87,41.22,-3.34,-4.82,-0.91,0.01,2.56,2.8,98.73,72.97,17.06,6.75,0.31,0.44,1.44,12.39,30.59,5.88,3.88,NA,11.77,3.06,55.19
2.02,23.93,0.35,0.03,0.78,1.01,63.79,42.04,47.36,12.92,0.92,10.84,11.84,36.04,91.55,5.08,1.04,8220.14,15.56,5.96,133.03,6.11,43.32,1.07,0.03,0.86,1.09,63.66,43.31,40.67,11.95,0.86,6.1,7.1,38.56,85.91,10.22,1.72,7710.76,20.1,3.92,51.44,1.11,9.3,0.15,0.06,0.8,1.03,50.52,31.28,29.35,9.55,0.88,7.41,8.41,42.41,88.11,5.8,1.12,NA,26.51,3.92,78.1
5.99,29.03,3.01,0.01,0.63,0.95,182.81,86.33,113.35,45.7,0.79,3.85,4.85,48.21,79.38,11.51,0.81,16523.88,14.77,21.2,83.14,9.04,39.21,4.13,0,0.67,1.04,166.16,82.99,117.21,45.48,0.77,3.34,4.34,54.9,76.94,16.79,1.11,10326.92,4.09,15.11,57.9,0.26,1.27,0.13,0.01,0.57,1.11,178.35,71.54,116.2,69.8,0.74,3.57,4.83,51.22,73.9,6.09,1.15,NA,6.73,18.05,71.46
-7.45,-31.12,-28.29,0.07,0.31,0.43,1381.51,114.93,467.16,53.81,0.76,3.17,4.18,-6.1,76.05,-0.17,0.77,19021.33,0,5.12,33.09,3.02,10.99,NA,0.16,0.4,0.48,938.72,76.81,321.89,24.44,0.72,2.64,3.64,4.97,72.48,14.22,0.78,NA,0,3.59,11.26,2.56,8.06,NA,0.2,0.33,0.47,923.78,36.75,300.56,44.44,0.68,2.14,3.15,5.07,67.87,11.93,0.79,NA,0,4.55,12.1
11.77,14.95,6.47,0.42,3.64,3.64,200.22,134.01,41.67,0.02,0.21,0.27,1.27,31.46,21.25,55.4,3.43,6289.91,0,10.83,93.01,0.15,0.21,NA,0.03,2.58,2.58,224.66,165.57,64.9,0.05,0.3,0.43,1.43,22.46,30,16.86,2.91,NA,0,9.96,55.66,-5.05,-5.28,NA,4.81,22.46,22.47,385.19,235.93,13.36,0.08,0.04,0.04,1.04,21.55,4.27,114.11,4.98,NA,0,21.06,60.15
2.49,3.41,0.99,0.37,1.51,1.72,145.2,33.23,29.22,6.32,0.27,0.37,1.37,171.13,27.09,46.58,1.15,10039.28,0,67.27,95.95,2.9,3.88,1.12,0.81,2.13,2.35,140.9,30.76,23.29,4.97,0.25,0.34,1.34,172.12,25.3,45.12,1.26,7407.82,0,46.1,69.28,7.57,9.91,2.99,1.24,2.92,3.13,143.97,35.88,21.25,4.29,0.24,0.31,1.31,165.6,23.63,60.73,1.47,NA,0,43.97,67.55
0.84,72.82,0.47,0.26,0.64,0.85,202.45,68.73,180.29,38.78,0.99,85.87,86.99,23.55,98.85,10.21,0.35,NA,0,12.63,64.86,0.52,31.92,0.3,0.56,0.79,0.85,206.82,43.46,192.48,12.21,98.36,6000.84,61.01,32.68,98.36,8.87,0.22,NA,0,12.34,50.94,-6.24,126.71,-4.41,0.91,1.4,1.65,257.67,49.75,101.92,25.38,104.92,-2132.22,-20.32,21.71,104.92,-3.72,1.74,NA,0,14.07,77.49
