"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63"
-72.54,1278.52,-26.99,0.11,0.52,0.79,135.44,35.09,84.57,23.31,1.06,-18.62,-17.62,96.67,105.67,-48.6,0.45,NA,3.38,62.96,139.52,7.65,169.26,3.57,0.01,0.51,0.64,169.71,50.22,90.56,13.06,0.95,21.11,22.11,106.77,95.48,21.51,0.59,NA,7.46,46.21,83.65,15.53,82.2,9.29,0.1,0.51,0.77,218.22,40.7,95.12,25.6,0.81,4.29,5.29,78.86,81.11,39.76,0.8,25206.9,1.78,37.86,64.11
0.16,0.36,2.96,0.02,0.06,0.58,6816.78,150.14,3720.35,1954.75,0.56,1.28,2.28,4.88,56.05,5.54,0.65,31459,0,88.45,56.74,1.09,2.6,11.63,0.03,0.1,0.68,3893.29,140.69,2224.84,1329.86,0.58,1.39,2.39,5.29,58.14,6.86,0.7,NA,0,44.95,68.5,0.13,0.34,1.68,0.14,0.27,6.59,4589.94,40.13,302.98,1940.6,0.61,1.54,2.54,4.46,60.57,4.76,1.66,31519.33,0,54.4,58.17
6.76,75.07,3.51,0.05,0.85,0.88,165.13,133.7,166.79,4.38,0.9,9.99,11.11,20.97,91,13.49,0.43,NA,0,7.38,49.76,22.88,89.48,6.9,0.22,0.92,0.94,109.82,50.68,72.32,1.09,0.73,2.87,3.91,82.36,74.43,46.26,0.85,NA,0,17.95,58.55,15.32,40.6,5.03,0.18,1.39,1.42,119.78,57.98,47.78,1.42,0.62,1.64,2.65,74.72,62.28,44.52,1.36,NA,0,19.49,66.12
3.56,19.84,4.47,0.14,0.74,0.95,457.43,152.67,236.34,56.26,0.77,4.28,5.58,17.3,82.08,10.82,0.82,21048.22,17.22,17.27,55.95,1.96,8.96,1.63,0.15,0.71,0.94,301.98,102.61,169.12,41.62,0.73,3.34,4.57,20.88,78.13,14.98,0.78,21880.61,12.17,15.69,61.8,0.28,1.17,0.24,0.09,0.72,0.99,302.05,111.66,179.26,49.71,0.71,2.93,4.12,22.69,75.71,14.98,0.86,22458.87,3.06,18.54,62.25
-10.65,-12.31,-10.25,2.46,4.06,5,350.42,69.93,43.73,41.63,0.13,0.15,1.16,23.57,13.48,72.23,2.47,NA,0,32.94,92.84,-1,-1.11,-0.84,4.4,8.2,8.93,304.24,82.29,21.65,16.21,0.1,0.11,1.11,34.57,9.55,166.5,2.57,NA,0,29.73,77.01,15.75,16.92,13.16,3.13,6.96,8.68,304.86,66.72,17.42,30.44,0.07,0.07,1.07,47.77,6.9,229.03,1.92,9006.17,0,26.75,61.07
11.82,59.1,7.6,0.07,0.52,0.93,233.93,73.29,71.89,69.28,0.8,4,5,37.4,80,19.49,0.84,16232.01,47.34,16.44,57.2,5.37,37.62,3.03,0.02,0.4,0.82,205.62,54.87,67.06,63.51,0.86,6,7,32.55,85.72,12.22,0.64,15011.68,43.63,15.35,66.26,3.62,30.07,2.08,0,0.42,0.76,209.97,69.62,82.62,56.9,0.88,7.3,8.3,32.3,87.96,9.93,0.48,16237.67,41.13,16.5,69.38
-1.02,-1.89,-0.61,0.91,1.1,1.96,219.1,18.02,95.63,85.33,0.46,0.86,1.86,8.51,46.18,7.1,4.98,NA,1.97,5.73,88.89,0.4,0.7,0.23,0.71,0.81,2.07,215.03,9.36,90.09,117.21,0.44,0.78,1.78,10.13,43.85,11.92,5.87,NA,1.39,5.75,67.2,1.59,2.77,0.89,0.88,1.09,2.17,204,18.13,84.79,93.99,0.43,0.75,1.75,11.08,42.84,13.79,9.38,13872.86,0.62,5.31,60.84
16.86,18.59,8.61,5.96,10.24,10.98,186,62.81,14.68,11,0.09,0.1,1.1,37.48,9.34,189.81,7.45,NA,0,10.54,47.44,5.17,6.39,6.94,2.94,4.65,4.99,488.6,149.26,87.56,30.41,0.19,0.24,1.24,14.01,19.16,30.88,8.57,NA,0,11.87,52.08,11.69,13.74,8.47,3.06,5.98,6.41,264.67,110.19,37.69,16.29,0.15,0.18,1.18,26.16,14.96,87.33,11.6,20828.86,0,10.49,46.64
16.7,27.38,11.56,1.53,2.16,2.33,251.88,60.81,96.49,16.76,0.39,0.64,1.64,39.6,39,72.38,11.24,NA,0,15.85,51.22,13.92,20.86,10.71,1.9,2.26,2.61,280.2,31.89,90,32.22,0.33,0.5,1.5,42.13,33.29,55.93,6,NA,0,21.72,68.4,17.16,21.47,14.52,2.67,3.65,4.6,308.97,58.33,59.73,57.28,0.2,0.25,1.25,45.38,20.08,111.56,13.75,17792,0,23.88,68.61
13.72,49.68,7.8,0.03,0.5,0.71,206.91,68.01,145.93,31.2,0.72,2.62,3.62,22.79,72.38,26.77,0.58,52294.25,0,5.15,28.29,19.83,44.11,6.44,0,0.81,1,118.29,50.41,62.51,12.29,0.55,1.22,2.22,34.93,55.05,49.47,1,36675.57,0,4.91,44.75,4.69,11.36,1.6,0.12,1.03,1.27,124.74,61.03,67.01,16.59,0.59,1.42,2.42,17.76,58.7,19.67,1.4,11026.41,0,4.47,138.19
2.98,3.54,1.87,0.87,8.1,8.52,228.62,174.36,24.56,10.45,0.13,0.15,1.19,17.74,13.81,78.67,13.17,106475,NA,9.27,55.88,8.32,10.02,5.48,1.31,8.88,9.05,239.45,183.73,24.69,4.36,0.13,0.15,1.2,23.04,13.18,73.22,16.91,NA,NA,9.68,57.19,7.29,10.74,6.32,0.35,3.14,3.18,316.27,261.65,95.13,3.73,0.32,0.47,1.47,18.54,32.08,24.42,21.7,89154.95,0,9.75,53.86
