"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63"
4.65,9.63,2.58,0.4,2.24,2.44,202.32,136.01,76.89,15.16,0.52,1.07,2.07,37.81,51.7,13.75,8.33,48989.6,0,18.38,73.76,4.52,10.68,2.99,0.67,1.93,2.05,240.98,133.77,112.45,13.56,0.58,1.36,2.36,31.68,57.64,11.16,13.03,44136.23,0,17.98,84.06,2.8,6.53,1.76,1.02,2.08,2.2,228.03,97.31,99.84,11.59,0.57,1.33,2.33,30.19,57.09,7.77,17.42,NA,0,13.23,57.78
10.88,70.99,1.19,1.16,1.85,1.85,40.02,14.36,20.81,0.01,0.85,5.52,6.52,10.88,84.67,14.74,18.45,NA,0,0,0,2.97,20.21,3.58,0.75,1.05,1.05,438.74,111.25,370.08,0.04,0.85,5.8,6.8,2.97,85.29,6.87,1.39,NA,0,0,0,0.97,4.08,0.61,0.35,1.16,1.16,230.95,140.95,156.71,0.05,0.76,3.21,4.21,0.97,76.27,8.04,2.12,NA,7.67,0,0
0.41,9.75,0.32,0.08,0.39,0.83,291.62,33.01,79.32,46.18,0.96,23.06,24.06,0.58,95.84,5.68,0.91,NA,66.73,0.14,1.53,2.17,34.91,1.61,0.14,0.51,0.93,269.78,39.02,77.44,45.63,0.94,15.08,16.08,2.75,93.78,8.89,0.97,NA,63.49,0.43,3.72,1.85,22.1,1.24,0.21,0.48,0.86,243.07,29.9,81.06,41.56,0.92,10.95,11.95,2.55,91.63,6.76,0.89,NA,56.95,0.35,4.21
-247.73,62.13,-231.62,0.2,0.2,0.2,341.26,NA,1678.66,NA,4.99,-1.25,-0.25,-247.73,498.73,-17.44,NA,NA,0,0,0,273.43,-176.12,88.45,0.39,0.39,0.39,117.75,NA,297.25,NA,2.55,-1.64,-0.64,273.43,255.25,107.12,NA,NA,0,0,0,98.11,-891.29,19.12,0.64,0.9,0.9,70.93,20.34,77.88,NA,1.11,-10.08,-9.08,98.11,111.01,88.38,NA,NA,0,0,0
-5.93,-5.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,-5.93,0,NA,NA,NA,0,NA,0,-0.53,-2.92,NA,0.23,0.23,1.22,NA,NA,NA,NA,0.82,4.51,5.51,-0.53,81.86,-0.65,NA,NA,0,NA,0,1.57,8.33,1.89,0.21,1.23,1.23,439.07,360.2,352.61,NA,0.81,4.32,5.32,1.57,81.2,1.93,NA,NA,0,0,0
4.12,4.16,1.18,103.39,103.39,103.39,93.6,NA,1,NA,0.01,0.01,1.01,26.23,1.06,387.5,NA,1501,0,6.33,77.68,6.61,6.96,2.14,20.49,20.49,20.49,117.9,NA,5.69,NA,0.05,0.05,1.05,8.56,4.97,133.11,NA,494,0,0.63,11.64,15.11,16.37,5.22,13.12,13.12,13.12,125.67,NA,9.47,NA,0.08,0.08,1.08,16.13,7.69,196.35,NA,NA,0,0.35,3.5
5.45,6.27,5.61,88.2,210.52,210.52,375.63,215.27,1.76,NA,0.13,0.15,1.15,5.45,13.09,41.65,NA,NA,0,0,0,7.46,8.55,4.02,41.97,62.66,78.63,196.15,51.03,2.47,39.95,0.13,0.15,1.15,7.67,12.84,58.07,NA,NA,0,0.11,0.56,-16.43,539.24,-4.07,0.61,1.29,1.35,90.21,44.94,65.89,4.33,1.03,-33.81,-32.81,36.6,103.05,-15.95,NA,NA,0,9.18,96.19
-15.72,108.12,-11.7,0.01,0.22,0.36,271.79,47.84,224.6,31.07,1.15,-7.88,-6.88,2.49,114.54,-8.32,0,8267,14.49,13.56,171.73,-7.47,32.38,-4.66,0.02,0.19,0.35,226.85,33.68,188.35,29.87,1.23,-5.33,-4.33,11.32,123.07,-2.51,-0.02,12593,21.63,11.71,108.38,-13.5,34.35,-8.72,0.02,0.16,0.26,235.09,33.55,228.06,23.45,1.39,-3.54,-2.54,8.05,139.31,-6.24,-0.29,NA,17.93,9.88,95.58
7.47,57.92,1.39,0.01,0.59,1.01,68,33.55,58.28,24.85,0.87,6.76,7.76,62.89,87.11,17.34,1.11,23631.67,0,10.33,63.04,-3.25,-33.01,-0.6,0.01,0.67,1.1,66.89,38.04,57.04,24.77,0.9,9.15,10.15,68.52,90.15,5,2.38,31297,0,13.19,91,7.48,42.89,1.38,0.34,0.66,1.16,67.24,17.63,54.61,27.41,0.83,4.74,5.74,88.62,82.57,9.36,4.4,NA,0,10.93,62.93
0.57,7.53,1.07,0.49,0.54,0.54,425.11,31.87,623.05,NA,0.92,12.19,13.19,0.57,92.42,6.94,0.15,NA,0,0,0,1.8,18.62,5.47,0.58,0.69,0.69,1106.4,103.11,988.54,NA,0.9,9.35,10.35,1.8,90.34,18.09,0.26,NA,0,0,0,3.38,26.54,6.8,0.8,0.88,0.88,733.59,53.96,633.25,NA,87.28,686.2,7.86,3.38,87.28,19.98,0.57,NA,0,0,0
8.99,17.87,19.34,0.61,1.52,2.01,344,348.61,384.44,193.66,0.5,0.99,1.99,8.99,49.67,18.11,NA,NA,0,0,0,15.52,52.97,14.59,0.18,0.73,0.95,342.41,130.91,239.45,52.72,0.71,2.41,3.41,15.52,70.71,27.36,0.89,NA,0,0,0,16.34,40.08,14.48,0.24,0.92,1.35,322.45,126.96,188.9,82.8,0.59,1.45,2.45,16.34,59.23,40.53,2.06,NA,0,0,0
-7.79,-124.69,-2.57,0.3,0.66,0.72,120.27,39.81,111.21,7.37,0.94,15,16,-7.79,93.75,4.59,0.2,NA,0,0,0,15.65,72.96,10.69,0.03,0.62,0.71,248.76,113.21,193.16,17.32,0.79,3.66,4.66,25.07,78.55,45.94,0.48,NA,0,6.44,30.04,-18.88,387.71,-25.46,0.21,0.73,0.88,490.84,137.24,265.07,42,1.05,-21.54,-20.54,4.59,104.87,-8.11,0.88,NA,0,31.65,98.7
18.11,26.56,7.91,0.29,1.71,2.64,159.38,68.89,48.59,45.96,0.32,0.47,1.47,31.38,31.8,61.81,3.76,65848.57,0,5.79,35.59,10.81,15.45,4.73,0.94,2,2.92,159.19,46.65,44.09,41.54,0.29,0.41,1.43,23.99,30.01,40.63,3.94,54805.41,0,5.76,45.21,4.09,5.86,1.65,0.99,2.41,3.17,146.88,49.38,34.76,26.33,0.26,0.37,1.43,17.45,25.52,19.01,2.95,NA,0,3.9,49.43
-0.25,-0.7,-0.06,0.4,0.43,1.38,93.54,1.39,48.21,46.78,0.64,1.82,2.82,77.47,64.49,21.19,1.71,8657.33,0,19.92,76.71,-0.06,-0.2,-0.02,0.42,0.51,1.12,120.78,6.77,29.69,49.57,0.7,2.38,3.38,57.48,70.39,16.43,1.19,11393,42.37,19.09,77.49,-7.58,-26.65,-2.32,0.23,0.37,1.49,111.64,10.47,46.94,83.24,0.72,2.52,3.52,60.38,71.56,7.55,NA,NA,24.7,20.84,78.43
1.28,1.76,0.63,1.65,2.38,3.7,179.77,34.98,47.66,63.59,0.28,0.38,1.38,25.94,27.53,4.64,NA,9462,0,12.15,61.97,27.79,33.5,9.5,3.3,4.45,6.02,124.47,23.3,20.31,32.41,0.17,0.21,1.21,36.59,17.04,163.16,NA,13199,0,3.01,20.81,-1.82,-2.36,-1.1,1.46,2.89,4.5,220.02,68.95,48.35,77.84,0.23,0.3,1.3,22.96,22.84,-7.98,NA,NA,0,14.98,102.68
-0.35,4.49,-0.18,0.74,1.43,1.63,187.12,60.3,86.9,17.35,1.08,-13.75,-12.77,3.48,107.83,4.41,2.25,NA,0,1.96,30.46,8.23,655,3.77,0.12,0.76,0.94,166.61,47.64,73.7,13.17,0.99,78.56,79.56,16.75,98.74,16.09,0.96,NA,0,2.61,19.41,89.03,100,-7.47,-0.04,-0.15,-0.15,-30.54,-4.87,42.84,-0.13,0.11,0.12,1.12,48.51,10.97,79.6,3.04,NA,-2.19,2.45,54.21
21.07,106.07,24.89,-0.34,0.01,0.03,431.05,43.1,123.7,2.82,0.77,3.87,5.03,30.67,80.13,40.97,0.68,110620.33,46.64,11.34,19.19,23.07,96.41,34.59,-0.02,0.22,0.23,545.89,64.67,274.75,2.87,0.74,3.11,4.18,26.75,76.08,41.65,0.54,92504.5,23.52,5.53,8.49,30.19,97.21,33.65,-0.04,0.26,0.28,405.63,62.53,206.85,2.97,0.67,2.16,3.22,34.04,67.23,57.51,0.55,NA,15.67,2.95,4.95
-12.58,-12.87,NA,NA,NA,NA,NA,NA,NA,NA,0.02,0.02,1.02,-12.58,2.21,-570,NA,NA,0,NA,0,-1,-1.03,-15,NA,NA,NA,5478.2,360,NA,NA,0.03,0.03,1.03,-1,2.88,-34.62,NA,NA,0,0,NA,59.59,75.09,NA,5.81,5.81,5.81,NA,NA,NA,NA,0.21,0.26,1.26,59.59,20.65,288.54,NA,NA,0,NA,0
0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,0,NA,NA,6.67,51.01,1.71,0.26,1.16,1.16,93.43,57.66,64.35,NA,0.87,6.65,7.65,6.67,86.93,9.14,1.58,NA,6.69,0,0,15.72,65.33,7.37,0.37,1.3,1.3,170.49,98.78,106.45,NA,75.93,315.48,4.15,15.72,75.93,25.54,2.04,NA,2.01,0,0
1.29,34.35,0.59,0.02,0.66,0.76,111.61,99.12,156.69,17.1,0.96,25.55,26.55,22.85,96.23,4.52,0.16,12135.83,0,9.86,81.16,-10.36,133.92,-3.03,0,0.55,0.64,106.3,59.52,112.09,10.67,1.08,-13.92,-12.92,33.97,107.74,-6.11,-0.24,13192.83,0,12.95,117.36,4.79,-130.79,1.37,0,0.45,0.63,103.82,44.38,105.64,18.85,1.04,-28.28,-27.28,52,103.67,7.38,-0.1,NA,0,9.69,62.08
